iter	Passed	Remaining
455	948	1131
456	952	1131
457	953	1128
458	955	1125
459	956	1123
460	958	1120
461	959	1117
462	961	1115
463	963	1112
464	966	1112
465	968	1110
466	970	1108
467	973	1106
468	974	1103
469	976	1101
470	978	1098
471	982	1098
472	983	1096
473	985	1093
474	987	1091
475	989	1088
476	990	1085
477	992	1083
478	993	1080
479	997	1080
480	999	1077
481	1001	1075
482	1003	1073
483	1007	1073
484	1014	1076
485	1016	1074
486	1018	1072
487	1021	1071
488	1025	1071
489	1040	1082
490	1070	1109
491	1072	1107
492	1074	1105
493	1082	1109
494	1084	1106
495	1086	1104
496	1090	1103
497	1096	1105
498	1099	1103
499	1100	1100
500	1103	1098
501	1105	1096
502	1107	1094
503	1110	1093
504	1113	1091
505	1115	1089
506	1136	1104
507	1140	1104
508	1142	1102
509	1145	1100
510	1147	1098
511	1149	1095
512	1151	1093
513	1164	1101
514	1167	1099
515	1168	1096
516	1173	1096
517	1176	1094
518	1177	1091
519	1179	1089
520	1181	1086
521	1189	1089
522	1194	1089
523	1196	1087
524	1199	1085
525	1204	1085
526	1206	1083
527	1208	1080
528	1210	1078
529	1213	1076
530	1215	1073
531	1220	1073
532	1221	1070
533	1224	1068
534	1226	1066
535	1229	1064
536	1231	1061
537	1236	1062
538	1239	1059
539	1241	1057
540	1243	1055
541	1246	1053
542	1250	1052
543	1254	1051
544	1257	1049
545	1262	1049
546	1268	1050
547	1270	1048
548	1276	1048
549	1284	1050
550	1286	1048
551	1288	1045
552	1291	1043
553	1293	1041
554	1298	1041
555	1300	1038
556	1302	1035
557	1304	1033
558	1306	1030
559	1308	1027
560	1310	1025
561	1314	1024
562	1316	1021
563	1319	1020
564	1321	1017
565	1324	1015
566	1328	1014
567	1330	1011
568	1332	1009
569	1334	1006
570	1336	1003
571	1338	1001
572	1341	999
573	1345	998
574	1347	996
575	1349	993
576	1351	990
577	1354	989
578	1361	989
579	1363	987
580	1365	984
581	1367	981
582	1369	979
583	1371	977
584	1376	976
585	1378	974
586	1381	971
587	1383	969
588	1387	968
589	1392	967
590	1394	965
591	1407	970
592	1410	967
593	1412	965
594	1415	963
595	1425	966
596	1429	964
597	1434	964
598	1439	963
599	1441	960
600	1443	958
601	1445	955
602	1447	953
603	1449	950
604	1451	947
